eval_date,bucket,Symbol,Name,tf,angle_deg,residence_20,next_ret_pct
2026-05-20,B,003230,삼양식품,1M,2.067121029146257,1.0,-2.800294767870302
2026-05-20,B,009160,SIMPAC,1W,0.41028102609565775,0.85,0.0
2026-05-20,B,026940,부국철강,1W,0.6973708529751175,0.4,0.2197802197802197
2026-05-20,A,003280,흥아해운,1W,1.57319665437347,0.85,-0.4065040650406504
2026-05-20,B,069640,한세엠케이,1W,0.2239637326512832,0.35,-0.6042296072507553
2026-05-20,A,003490,대한항공,1W,0.35254831514764506,0.9,6.653225806451612
2026-05-20,B,077970,STX엔진,1W,1.343442806157152,0.6,8.633093525179856
2026-05-20,A,047040,대우건설,1W,7.975995691663844,1.0,6.378986866791744
2026-05-20,B,009070,KCTC,1M,0.7124309197602224,0.65,0.9708737864077668
2026-05-20,A,003010,혜인,1M,0.25354388205334283,0.6,2.8021015761821366
2026-05-20,A,023350,한국종합기술,1W,0.18562152467056237,0.6,1.417004048582996
2026-05-20,B,007160,사조산업,1Q,0.8480510871449497,0.35,0.9625668449197862
2026-05-20,A,001800,오리온홀딩스,1W,0.6205610277871024,0.95,0.8163265306122449
2026-05-20,A,025540,한국단자,1W,0.6963226235100004,1.0,5.548549810844893
2026-05-20,B,322000,HD현대에너지솔루션,1W,4.315420214482235,0.95,4.134078212290502
2026-05-20,B,002380,KCC,1M,2.068895641420318,0.75,9.730848861283643
2026-05-20,B,104700,한국철강,1Q,0.7998805417411284,0.7,-0.6528835690968444
2026-05-20,B,105840,우진,1M,4.501271804816007,0.65,5.9405940594059405
2026-05-20,B,093370,후성,1W,1.6773061619303475,0.7,10.73345259391771
2026-05-20,A,181710,NHN,1W,0.7509990429357538,1.0,2.6881720430107525
2026-05-20,B,001515,SK증권우,1M,3.761303474742289,0.6,4.591104734576758
2026-05-20,B,014790,HL D&I,1M,0.9102962179088078,0.85,2.0599250936329585
2026-05-20,B,475150,SK이터닉스,1W,2.5098213931034836,0.75,2.3002421307506054
2026-05-20,B,002020,코오롱,1W,0.9021299550191683,0.9,1.4173228346456692
2026-05-20,A,016360,삼성증권,1W,1.213951296688976,1.0,8.606921029281278
2026-05-20,A,404990,신한서부티엔디리츠,1M,0.02581066952470501,0.25,-0.2717391304347826
2026-05-20,A,003240,태광산업,1M,1.8884256790380924,0.8,4.540763673890609
2026-05-20,B,001200,유진투자증권,1W,1.3650094177229677,0.95,5.454545454545454
2026-05-20,A,007340,DN오토모티브,1W,2.0800181581048243,0.9,-0.5611672278338945
2026-05-20,B,025890,한국주강,1W,0.4348542194758592,0.55,2.655337227827934
2026-05-20,B,031430,신세계인터내셔날,1W,0.9219490408187685,1.0,7.410071942446043
2026-05-20,B,004980,성신양회,1M,0.4564360882108152,0.7,1.973684210526316
2026-05-20,B,161890,한국콜마,1W,1.144628240039311,0.85,0.0
2026-05-20,A,086280,현대글로비스,1M,2.6329309902372406,1.0,10.926365795724466
2026-05-20,A,021050,서원,1W,1.0149811701911535,0.95,4.472396925227113
2026-05-20,B,088790,진도,1W,0.8070559390029804,0.85,1.4571948998178506
2026-05-20,B,025820,이구산업,1M,0.2684533760231487,0.6,4.444444444444445
2026-05-20,B,010060,OCI홀딩스,1W,4.196885949402762,0.95,1.0810810810810811
2026-05-20,B,000050,경방,1W,0.2065849976006441,0.95,1.8499486125385407
2026-05-20,B,003460,유화증권,1M,1.399358107989935,0.8,3.2467532467532463
2026-05-20,B,005490,POSCO홀딩스,1W,1.2402474396856247,1.0,6.3549160671462825
2026-05-20,B,139480,이마트,1M,1.4658081848407918,0.8,5.988700564971752
2026-05-20,A,403550,쏘카,1W,0.6522705391998064,0.6,0.0
2026-05-20,B,001720,신영증권,1M,3.286953768460167,1.0,6.003531489111242
2026-05-20,B,078930,GS,1W,0.9732916521489767,1.0,2.029769959404601
2026-05-20,B,214390,경보제약,1M,0.4225013107045881,0.75,2.7164685908319184
2026-05-20,B,000150,두산,1W,2.2296959408304104,0.95,8.254397834912043
2026-05-20,B,000680,LS네트웍스,1W,0.48812024129768183,0.6,4.861111111111112
2026-05-20,B,003550,LG,1W,0.7590212808945088,0.95,19.30164888457808
2026-05-20,A,072130,유엔젤,1Q,0.6255283350159843,0.6,2.3060796645702304
2026-05-20,B,033240,자화전자,1W,2.272137166133729,1.0,4.444444444444445
2026-05-20,B,013870,지엠비코리아,1M,0.5047923782546861,0.4,2.693208430913349
