Date,삼성주가,삼성시총_조,삼성TTM순이익_조,삼성PER,하이닉스주가,하이닉스시총_조,하이닉스TTM순이익_조,하이닉스PER
2019-10-21,50300,300.280062265,31.4695,9.541939410063714,77500,56.4201832875,9.7282,5.799652894420346
2019-10-22,51200,305.65286656,31.4695,9.712669936287517,79100,57.5849870715,9.7282,5.91938766385354
2019-10-23,51200,305.65286656,31.4695,9.712669936287517,77700,56.5657837605,9.7282,5.814619740599494
2019-10-24,50700,302.667975285,31.4695,9.617819643940958,80000,58.2401892,9.7282,5.986738471659712
2019-10-25,50900,303.861931795,31.4695,9.655759760879581,82900,60.3513960585,9.7282,6.203757741257376
2019-10-28,51300,306.249844815,31.4695,9.73163999475683,82900,60.3513960585,9.7282,6.203757741257376
2019-10-29,51100,305.055888305,31.4695,9.693699877818204,83000,60.424196295,9.7282,6.2112411643469505
2019-10-30,50400,300.87704052,31.4695,9.560909468533023,81500,59.3321927475,9.7282,6.098989818003331
2019-10-31,50400,300.87704052,31.4695,9.560909468533023,82000,59.69619393,9.7282,6.136406933451204
2019-11-01,51200,305.65286656,31.4695,9.712669936287517,83100,60.4969965315,9.7282,6.218724587436525
2019-11-04,52300,312.219627365,31.4695,9.921340579449943,84700,61.6618003155,9.7282,6.33845935686972
2019-11-05,52700,314.607540385,31.4695,9.99722081332719,85100,61.9530012615,9.7282,6.368393049228018
2019-11-06,53300,318.189409915,31.4695,10.111041164143058,83500,60.7881974775,9.7282,6.248658279794824
2019-11-07,52900,315.801496895,31.4695,10.035160930265814,83600,60.860997714,9.7282,6.256141702884398
2019-11-08,52100,311.025670855,31.4695,9.88340046251132,82300,59.9145946395,9.7282,6.158857202719928
2019-11-11,51600,308.04077958,31.4695,9.788550170164763,81300,59.1865922745,9.7282,6.084022971824182
2019-11-12,52600,314.01056213,31.4695,9.978250754857878,83200,60.569796768,9.7282,6.2262080105261
2019-11-13,52500,313.413583875,31.4695,9.959280696388566,83400,60.715397241,9.7282,6.241174856705249
2019-11-14,52800,315.20451864,31.4695,10.016190871796502,83400,60.715397241,9.7282,6.241174856705249
2019-11-15,53700,320.577322935,24.6071,13.02783842610466,85200,62.025801498,5.5278,11.22070290133507
2019-11-18,53500,319.383366425,24.6071,12.979317612599617,85500,62.2442022075,5.5278,11.260212418593293
2019-11-19,53500,319.383366425,24.6071,12.979317612599617,85300,62.0986017345,5.5278,11.233872740421145
2019-11-20,52000,310.4286926,24.6071,12.615411511311775,82700,60.2057955855,5.5278,10.891456924183219
2019-11-21,51000,304.45891005,24.6071,12.372807443786549,80900,58.8953913285,5.5278,10.654399820633886
2019-11-22,51600,308.04077958,24.6071,12.518369884301686,81700,59.4777932205,5.5278,10.75975853332248
2019-11-25,51800,309.23473609,24.6071,12.566890697806732,81700,59.4777932205,5.5278,10.75975853332248
2019-11-26,51800,309.23473609,24.6071,12.566890697806732,82300,59.9145946395,5.5278,10.838777567838923
2019-11-27,52200,311.62264911,24.6071,12.663932324816821,82700,60.2057955855,5.5278,10.891456924183219
2019-11-28,51300,306.249844815,24.6071,12.445588664044118,82800,60.278595822,5.5278,10.904626763269293
2019-11-29,50300,300.280062265,24.6071,12.202984596518892,80900,58.8953913285,5.5278,10.654399820633886
2019-12-02,50400,300.87704052,24.6071,12.227245003271413,80500,58.6041903825,5.5278,10.60172046428959
